""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RLTR17B_Mm"	48816.8420238699	-0.00481838854743316	0.0563814028412455	-0.0854600420802951	0.931895661014914	0.998384441716593
"BC1_Mm"	11238.8802751946	0.0145408602555566	0.0614022135532091	0.236813447947264	0.812801518320207	0.989191672783171
"Lx2"	243814.845786348	0.0927214378004742	0.076407483784155	1.2135713876662	0.224911438589889	0.879253783927408
"L1_Mus1"	487194.775499293	0.00717364092334545	0.0841679825425956	0.0852314754981075	0.932077367788187	0.998384441716593
"B4"	238745.518049515	0.0267549007302463	0.0689119941173678	0.388251247321193	0.69783011188914	0.980930924288683
"(CA)n"	200752.4200027	0.0344142466347305	0.0777307825860996	0.442745465198189	0.657949852932996	0.980930924288683
"L1Md_T"	914801.58609031	-0.118473492892856	0.102622607838701	-1.15415806472914	0.248435371617983	0.912797631057553
"(TAGG)n"	826.989224763133	0.160163198599906	0.0946379600945624	1.69247934817843	0.0905546144853696	0.606178378244529
"Lx5"	215786.630245526	0.0773672371170836	0.0675374771109712	1.14557191970825	0.251972321522719	0.917678803183654
"L1M2"	77936.3583787185	-0.0505603823226033	0.0724454674774107	-0.697895540614068	0.485242523418317	0.980858097385654
"B3A"	339100.724741139	-0.118462348204751	0.0643725432093399	-1.84020960338059	0.065737470619684	0.528303221982841
"RMER16A3"	2510.19247056477	-0.16891117458989	0.09936355104752	-1.69958798301757	0.0892084522968432	0.605461069755427
"RMER13B"	32920.1386102224	0.109294792004717	0.0595187862951192	1.83633463290951	0.0663081806581464	0.528303221982841
"MYSERV6-int"	29489.5355588235	-0.0905368092962909	0.0806866485836702	-1.12201795046124	0.261854807731668	0.929271450872466
"RLTR1D2_MM"	3997.94801299094	-0.339254649771493	0.105864145501412	-3.20223936324558	0.00136363637242453	0.0277651516940883
"L1_Mus3"	740209.847714059	0.0480381955549366	0.0906797310951472	0.529787581763177	0.596259216171566	0.980930924288683
"B1_Mur3"	69088.9905491911	-0.0450408412926699	0.0681445108640359	-0.660950596285799	0.508643996876788	0.980930924288683
"Lx3_Mus"	196704.557735597	0.057919570070472	0.0783561255658114	0.739209302707893	0.459779912840129	0.980858097385654
"Lx9"	272630.779783766	0.0575571850967278	0.0622680561410052	0.924356808093773	0.355300574679388	0.958728696900137
"MTD"	322115.15082888	-0.116943204201483	0.0506239537868498	-2.31001409596934	0.0208873737395637	0.239225702360941
"MERVL_2A-int"	39882.4715135363	0.0550889945253185	0.0575958091181541	0.956482901931345	0.33882831861505	0.958728696900137
"Lx2A"	18852.9519488676	0.0397012551630966	0.0802008657379347	0.495036013143914	0.620574699620564	0.980930924288683
"L1Md_A"	625227.22834273	-0.0984115329468903	0.102237316674492	-0.962375087053488	0.335861223341205	0.958728696900137
"L1Md_F2"	1673114.36974969	-0.0290634395820007	0.0961962436578472	-0.302111626477902	0.762566969670503	0.982498349823992
"RLTR10"	34415.8004209324	-0.267110538459978	0.094974259166742	-2.81139959684036	0.00493264829685567	0.078600678295548
"L2"	78446.6073368356	0.05749566032409	0.0520572695958315	1.10447462283892	0.269387305938208	0.931724174874395
"Charlie15b"	938.319847105695	0.0907096990273955	0.0776763378372475	1.16773236331657	0.242914738121428	0.909125306367734
"RLTR13D6"	13588.2580266267	-0.119000413811755	0.0842768188998233	-1.41190232033731	0.157978724445467	0.766876854427334
"RSINE1"	348800.643768729	0.0163381206610359	0.068023183849697	0.240186395498542	0.810185759852856	0.989191672783171
"ID4_"	47045.4341213866	0.0156359378581525	0.0635242588088446	0.246142236561989	0.805572128570318	0.989191672783171
"LTR33"	7012.23594794948	0.0430104017552916	0.0677395965111427	0.634937325102348	0.525469292386511	0.980930924288683
"Lx2B2"	143660.864725832	0.0834597062473873	0.0749730944735221	1.11323985352936	0.265605430506962	0.931724174874395
"IMPB_01"	64741.4739742001	0.0721874964012885	0.071254747040558	1.01311611353794	0.311004702494016	0.952623789671694
"MER21B"	8928.28269993035	0.0379602132518646	0.072450891998586	0.523946904444552	0.600315469994408	0.980930924288683
"MTE2b"	79253.8737212331	-0.0993010671062543	0.0498724877503854	-1.9910848217301	0.0464715628404484	0.423151000770791
"HAL1"	14861.8213225513	-0.0656343020562775	0.0494782174684294	-1.32652965620558	0.184664318689843	0.802724714901746
"MTC"	184355.504935092	-0.18143405773041	0.0531267669299273	-3.41505323517961	0.000637695469168548	0.0155810259633515
"RMER6C"	49430.0612426589	-0.251800185056151	0.084843047003541	-2.96723260781795	0.00300493528942451	0.0525087412843461
"URR1A"	63987.3118135866	0.0428259426297753	0.049242787206331	0.869691980258508	0.384468756118881	0.958728696900137
"L1MC5"	12732.1257214561	-0.0356496284655899	0.0555470111435677	-0.641790815877977	0.52100901361323	0.980930924288683
"B1_Mus1"	296036.936286902	-0.0572019272803728	0.0634912110392757	-0.900930184749704	0.367625441029616	0.958728696900137
"RMER4B"	34952.8090803994	-0.214474345143407	0.0586700793289468	-3.65549577723446	0.000256685433888349	0.00723655473231383
"Lx6"	177383.501110475	0.0291447236157773	0.0755044960807189	0.386006101072278	0.699492150332531	0.980930924288683
"MT2B"	19043.8951082252	0.0244829950797504	0.04935894590175	0.496019450087231	0.619880688300468	0.980930924288683
"Lx3A"	138279.129945928	0.131419824398544	0.085835081628373	1.53125457324409	0.125706487889321	0.703380577273837
"(CAAA)n"	19222.9401245715	0.00522216991847814	0.0712743964774321	0.0732693287635307	0.941591798180394	0.998384441716593
"Lx7"	281372.97230527	0.038919169228447	0.0698457830761878	0.557223878003028	0.577374477355937	0.980930924288683
"B1F1"	48515.9638500353	0.00837891393126757	0.0692824897535282	0.12093913976262	0.903739240634787	0.993622511297362
"ID_B1"	312977.218951132	0.0224406281230178	0.0723615267827052	0.310121652285035	0.756468447290789	0.981400658166635
"L1MA5A"	6669.48394070139	-0.000938084664111131	0.0605958372391583	-0.0154806941575704	0.987648686479075	0.998384441716593
"MIR"	117385.499707307	0.0481970514433068	0.0638049961275363	0.755388923157974	0.45001565750858	0.980858097385654
"RLTR20A3_MM"	5395.87595556046	0.0575792271415673	0.0564206035328419	1.0205239738891	0.307480025249088	0.952623789671694
"Lx2A1"	33409.3337852028	0.0872098763869385	0.0804429343619033	1.08418175843809	0.278284218018849	0.94436264725841
"PB1D9"	62856.1629797509	-0.022132145347241	0.0719950288102132	-0.307408525558942	0.758532439706573	0.981804026267751
"B2_Mm2"	305396.788463088	-0.202197452503011	0.0681480476057172	-2.96684904251762	0.00300868640374152	0.0525087412843461
"MTC-int"	30332.739239881	-0.0275991661991541	0.0550772903101995	-0.501097799530575	0.616302295415651	0.980930924288683
"B1_Mus2"	208165.526181677	-0.0791850074973738	0.0669394518366408	-1.18290760157633	0.236845768667231	0.906760371936838
"T-rich"	27387.979739982	-0.00881955732006914	0.0794613015048206	-0.110990989898757	0.911623491605222	0.995115442064971
"L1_Mur2"	202291.181235581	0.0393194143536448	0.0937658786159487	0.419359981805139	0.674953066023409	0.980930924288683
"MT2B2"	12588.6364020829	0.0494045380136414	0.0528470015307105	0.934860910932704	0.349859984006953	0.958728696900137
"(ATGGTG)n"	2613.89166572119	-0.0080840961233922	0.0709965859707582	-0.113863988618895	0.909345612775419	0.995115442064971
"B4A"	448711.275721067	0.0396148300575315	0.0664849633541013	0.595853519987596	0.551273086267878	0.980930924288683
"Lx5c"	158591.688370124	0.0370249847211485	0.067565858556804	0.547990249118481	0.583698598209849	0.980930924288683
"ORR1E"	136512.797765126	-0.159055265072208	0.0516616524254407	-3.07874458166363	0.0020787481899	0.0380930605799174
"L1VL1"	46976.4570850509	-0.0207689270178251	0.100696619566209	-0.206243577407922	0.836600649634661	0.989191672783171
"ETnERV-int"	32416.8493432972	-0.182528908336177	0.103313342913417	-1.76604138227819	0.0773889064725051	0.578837433105574
"(TA)n"	13987.134816587	0.0280733513126885	0.0935567461897252	0.300080904317108	0.764115444529543	0.982498349823992
"MMETn-int"	28717.7978228975	-0.197656292091597	0.0998653646279272	-1.97851646756262	0.0478704727189087	0.430540570588468
"L1_Mur3"	189202.700175462	-0.0159753628203252	0.0854006297592313	-0.187060413354107	0.85161326580841	0.991660183240323
"RLTR30E_MM"	2830.45835306675	-0.0662308637292577	0.0735900239893439	-0.900005277940861	0.368117441935764	0.958728696900137
"L1MA4"	34446.3215294375	-0.0243774081090002	0.058233790092343	-0.418611394626803	0.675500160657133	0.980930924288683
"Lx"	368474.220881039	0.0539173542137085	0.0777050923046062	0.693893295288997	0.487749128592911	0.980858097385654
"L1_Mm"	66641.0741691771	-0.0332516289676929	0.105953135417296	-0.313805491113187	0.753668773603325	0.980930924288683
"RMER19C"	28538.9163182954	-0.207803417944648	0.0679612901521617	-3.05750450344938	0.00223188287715381	0.0403943246655245
"L1VL2"	108219.494310548	-0.0748696467506447	0.0884410759442365	-0.846483778917573	0.39728291916471	0.960983464249729
"L1_Rod"	60560.7510182761	-0.029592438875328	0.0793492971852909	-0.372931982660155	0.709199067642567	0.980930924288683
"IAPEz-int"	469362.628133763	-0.3506120673484	0.107376483972259	-3.26215200878628	0.00110569835384779	0.0238375556873655
"IAPLTR3-int"	46436.8313562969	0.15775276703879	0.109254382401929	1.44463825652263	0.148559521132063	0.749588057861198
"AT_rich"	96029.0654731031	0.0137874718006237	0.0894175363471062	0.154195326146327	0.877455727314255	0.991660183240323
"MTE-int"	35493.7234281243	0.0318803320650185	0.0546154514334217	0.583726017912773	0.559404659686991	0.980930924288683
