""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RLTR17B_Mm"	89073.5423998912	-0.0134256174695614	0.0621611595307901	-0.215979846543981	0.829003456954722	0.999457336074246
"BC1_Mm"	16125.6864977733	0.000441011471175226	0.0593463532688555	0.00743155101841699	0.994070534758339	0.999457336074246
"Lx2"	231397.800155409	-0.0564237046265543	0.0507448542594709	-1.11191054153432	0.266176615803985	0.999457336074246
"L1_Mus1"	462687.343439676	-0.0123951484153905	0.0538349647920028	-0.230243423465763	0.817902621063305	0.999457336074246
"B4"	311108.463368929	-0.0300189849736917	0.0444975009535677	-0.674620746542269	0.499916748538311	0.999457336074246
"(CA)n"	295933.795449483	-0.0408058712453192	0.0609819414522175	-0.66914652894956	0.503402011550363	0.999457336074246
"L1Md_T"	719620.400649435	-0.0220076610527814	0.0401784085608713	-0.547747920531342	0.583865002944576	0.999457336074246
"(TAGG)n"	880.164704172227	-0.0799740543310574	0.0672380592726429	-1.19079432259535	0.23373433824036	0.999457336074246
"Lx5"	217086.154216413	-0.0319182414390374	0.0439351279697755	-0.726485370489694	0.467541272726339	0.999457336074246
"L1M2"	85728.4431812213	0.00481233082021182	0.0536024897950032	0.0897785345169216	0.928463206268317	0.999457336074246
"B3A"	460450.336789232	0.0899143124354023	0.0473330182282064	1.89961325169924	0.0574838918924689	0.999457336074246
"RMER16A3"	1743.14615990939	-0.024099361796202	0.0766347949740623	-0.314570478534276	0.75308779671836	0.999457336074246
"RMER13B"	38943.4446128453	-0.068089590961836	0.0527883560027696	-1.2898627654483	0.197098310770346	0.999457336074246
"MYSERV6-int"	29076.4920780778	-0.0286922116071988	0.0505101339398593	-0.56804166282644	0.570006678342	0.999457336074246
"RLTR1D2_MM"	2892.43516973505	-0.0675257170448662	0.0671710410065377	-1.00523699535684	0.314782745029231	0.999457336074246
"L1_Mus3"	623315.932386492	-0.0239626234445007	0.0417082818949895	-0.574528617817771	0.565610140635072	0.999457336074246
"B1_Mur3"	91641.4155105307	-0.0316257984949942	0.0543599648030467	-0.581782182684273	0.560713406850826	0.999457336074246
"Lx3_Mus"	182174.668922419	-0.0614401373814701	0.0478217255819547	-1.28477489655386	0.198870957093697	0.999457336074246
"Lx9"	306403.510060406	-0.032662262953655	0.0489860424349396	-0.666766049587983	0.50492158184536	0.999457336074246
"MTD"	371920.154851207	0.0346015732781798	0.0411863132135698	0.840123639784162	0.400839066824294	0.999457336074246
"MERVL_2A-int"	43302.5630774403	0.00171558448646069	0.050711564496504	0.0338306456873104	0.973012198202084	0.999457336074246
"Lx2A"	17823.2746562771	-0.041474308479349	0.0626872258085267	-0.66162287104435	0.508212946188877	0.999457336074246
"L1Md_A"	489581.586141871	-0.0296803196843292	0.041504115529401	-0.715116784139383	0.474536883583667	0.999457336074246
"L1Md_F2"	1409982.03877335	-0.0148938658361793	0.0427535900791437	-0.348364778865089	0.727566250241154	0.999457336074246
"RLTR10"	29596.5921351786	-0.0244077891498235	0.058159949581658	-0.419670401886211	0.674726250134493	0.999457336074246
"L2"	103424.07807665	-0.00269994880308009	0.0412579182462805	-0.0654404175974152	0.947823344439497	0.999457336074246
"Charlie15b"	1214.38049756346	-0.0337324097146473	0.0765622580553429	-0.44046805425523	0.659598144693039	0.999457336074246
"RLTR13D6"	11707.6685049213	-0.0166871286882918	0.0526035525671599	-0.317222925575335	0.751074455487436	0.999457336074246
"RSINE1"	460816.296538475	-0.0225519713744522	0.0495393969816417	-0.455232262674187	0.648942152234936	0.999457336074246
"ID4_"	70184.7383805919	-0.0113993455860825	0.0444882749487319	-0.256231999136984	0.797771701440172	0.999457336074246
"LTR33"	10632.3480005707	-0.0606605341247542	0.0534632170598317	-1.13461292238861	0.256537536362224	0.999457336074246
"Lx2B2"	134909.711045964	-0.0501056862403976	0.04724416700301	-1.0605690648962	0.288885787442873	0.999457336074246
"IMPB_01"	86295.080390732	-0.0287345529258811	0.0471399410495658	-0.609555845529998	0.542156068378674	0.999457336074246
"MER21B"	12109.3112224046	-0.070143883719319	0.0518884997646195	-1.35178163820842	0.176445179775281	0.999457336074246
"MTE2b"	95346.2929920651	0.0198554227187221	0.0413927906343882	0.479683527536428	0.631452442631889	0.999457336074246
"HAL1"	17989.759392891	-0.0198410225486487	0.0515918850911964	-0.384577562375391	0.700550420554008	0.999457336074246
"MTC"	202288.722829449	0.00750875749374923	0.0453871686206067	0.16543832880933	0.86859898727547	0.999457336074246
"RMER6C"	38483.5420471924	-0.00626692081423496	0.0496489032244925	-0.126224628739083	0.899554116368893	0.999457336074246
"URR1A"	86504.4944840029	0.00506596663786553	0.049749381823808	0.101829893707379	0.918891697230972	0.999457336074246
"L1MC5"	15988.0524323943	-0.0397925130797586	0.0523215365554153	-0.76053128164974	0.446937078145336	0.999457336074246
"B1_Mus1"	358600.385749522	-0.0548496170629477	0.0583365569288366	-0.940226680863806	0.347101298796103	0.999457336074246
"RMER4B"	36789.6468248005	0.00453190204407548	0.0450081649098347	0.100690753991655	0.919795951316016	0.999457336074246
"Lx6"	169142.820237372	-0.0142327989852881	0.0490767178668422	-0.290010949962243	0.771807860575334	0.999457336074246
"MT2B"	22580.7696755559	0.0435276915797069	0.0536380179577863	0.811514513013658	0.417070261902339	0.999457336074246
"Lx3A"	120371.027548987	-0.0850046745890726	0.0426278148354502	-1.9941074710835	0.0461403109540928	0.999457336074246
"(CAAA)n"	14152.3972360541	0.00439187733217785	0.0602661287322423	0.0728733364136126	0.941906911974182	0.999457336074246
"Lx7"	293260.787819368	-0.0184829160104535	0.0462668748459981	-0.399484174361894	0.689536482320583	0.999457336074246
"B1F1"	71284.382915423	-0.0424168372550024	0.0517770319817882	-0.819218558909998	0.412661728129244	0.999457336074246
"ID_B1"	462282.649473789	-0.0235285519651023	0.0526863808819238	-0.446576704893807	0.655180718347036	0.999457336074246
"L1MA5A"	8132.48899564468	-0.0301714092369768	0.0576019431128924	-0.523776099284439	0.600434278939828	0.999457336074246
"MIR"	173807.788122826	0.00215344917842228	0.0432438141348074	0.0497982271643027	0.960283179450071	0.999457336074246
"RLTR20A3_MM"	6179.73009438123	0.0305705270887205	0.0683187437545098	0.447440747776462	0.654556860444571	0.999457336074246
"Lx2A1"	31112.3271231546	-0.0471703709279935	0.0506936975579479	-0.930501661733251	0.352111404154898	0.999457336074246
"PB1D9"	93710.7361634212	-0.0141334370702471	0.0603214943762885	-0.234301767939639	0.814750713503271	0.999457336074246
"B2_Mm2"	451876.900212169	0.105772088103438	0.06037582572497	1.75190460110657	0.0797902132640346	0.999457336074246
"MTC-int"	31967.7865076609	-0.0104955513117498	0.0524369601838212	-0.200153329806101	0.841360665960041	0.999457336074246
